         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.151    2.151   10.091   10.091 {method 'mainloop' of '_tkinter.tkapp' objects}
   480000    1.104    0.000    1.104    0.000 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:86(<lambda>)
   480000    1.065    0.000    1.065    0.000 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:47(<lambda>)
        2    1.035    0.518    3.239    1.619 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\shape_base.py:270(apply_along_axis)
490071/490041    0.844    0.000    0.846    0.000 {built-in method numpy.array}
   480000    0.581    0.000    0.581    0.000 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:100(<lambda>)
   480002    0.317    0.000    0.438    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\index_tricks.py:653(__next__)
   480002    0.303    0.000    0.741    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\shape_base.py:373(<genexpr>)
        2    0.230    0.115    0.230    0.115 {built-in method _tkinter.create}
        2    0.213    0.106    1.317    0.659 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:87(<listcomp>)
  219/217    0.200    0.001    0.211    0.001 {method 'call' of '_tkinter.tkapp' objects}
        2    0.185    0.093    0.766    0.383 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:101(<listcomp>)
   481884    0.140    0.000    0.380    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:541(asanyarray)
482775/482773    0.122    0.000    0.158    0.000 {built-in method builtins.next}
        2    0.082    0.041    0.082    0.041 {built-in method matplotlib._png.write_png}
       22    0.063    0.003    0.063    0.003 {built-in method nt.stat}
       22    0.060    0.003    0.060    0.003 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\linalg\linalg.py:486(inv)
     1286    0.059    0.000    0.059    0.000 {built-in method numpy.dot}
      192    0.049    0.000    0.049    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1288(get_font)
       30    0.042    0.001    0.043    0.001 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\household.py:105(farm)
71133/70985    0.036    0.000    0.080    0.000 {built-in method builtins.isinstance}
